h/l,M_infty,F_axial_RANS [N/m],F_axial_SmallPert [N/m],F_axial_ShockExp [N/m],F_axial_Combined [N/m],Diff_SmallPert [%],Diff_ShockExp [%],Diff_Combined [%],Avg_P_Error_SP [%],Avg_P_Error_SE [%],Avg_P_Error_Combined [%],Case_Key
0.06,2.0,2241.9336,6606.35546706525,4247.595209639593,4247.8705241295265,66.06398785341266,47.21875595249513,47.22217682919098,93.90920233802996,60.706786224357415,59.635086853780685,h_l_0.06_Mach_2.0
0.06,2.5,1404.9445,3573.369235993081,2277.6156511005684,2277.704167274916,60.68291952993875,38.315121020136644,38.3175182188514,118.00273248306375,63.50639659447303,62.77448816276309,h_l_0.06_Mach_2.5
0.06,3.0,837.08215,1938.9238292821603,1182.4318339328402,1182.4645147034594,56.82748642940647,29.20673062935676,29.208687202741345,142.86836250752953,68.19644530519925,67.59772771907451,h_l_0.06_Mach_3.0
0.06,3.5,491.50427,1071.7891015174218,625.2820586925734,625.2949897660765,54.14169898116397,21.39479045846239,21.39641601081599,168.14045000935687,72.9194496267078,72.4136794947727,h_l_0.06_Mach_3.5
0.06,4.0,294.6479,609.0012424033425,342.01340386163054,342.0187929347693,51.61785105383283,13.849023208809562,13.850380660284433,190.12085558368932,76.73771280288419,76.31985038622393,h_l_0.06_Mach_4.0
0.06999999999999999,1.5,4233.615,16701.291543191266,10468.695820470839,10469.407727875838,74.65097101367022,59.559286973488646,59.56203689438344,88.31514889362498,65.46733008276489,64.1391292526092,h_l_0.07_Mach_1.5
0.06999999999999999,2.0,2596.2761,8991.996922753635,5362.15973159922,5362.426865749307,71.12681259401708,51.58152212909635,51.58393413941524,114.42015239935203,68.19661692593057,67.1101284579487,h_l_0.07_Mach_2.0
0.06999999999999999,2.5,1619.4961,4863.759652973415,2821.2162092218496,2821.3054030751864,66.70279353216115,42.5958177733322,42.59763257161844,146.0741976036993,71.40986599082188,70.65221557576835,h_l_0.07_Mach_2.5
0.06999999999999999,3.0,1002.2678,2639.094610224473,1496.0327490642323,1496.0638094111657,62.0222852798606,33.004954410754515,33.006345320250304,177.62584260309043,75.7676840766508,75.20537292144077,h_l_0.07_Mach_3.0
0.06999999999999999,3.5,601.79395,1458.8261789320322,797.110425111958,797.1223426622623,58.748070606118596,24.503064273939813,24.504193007236054,207.3287839426158,80.00629713569512,79.56313570084359,h_l_0.07_Mach_3.5
0.06999999999999999,4.0,369.20572,828.9195646441151,438.70347934160276,438.7083351048665,55.459403452172836,15.84162506569653,15.842556557333776,231.36375797020332,83.19883736603701,82.85863243033477,h_l_0.07_Mach_4.0
0.07999999999999999,1.5,5650.8555,21813.962447834125,12650.563145872535,12651.26443906058,74.09523610273261,55.33119432241489,55.33367043294841,103.17523819599475,71.17054625834491,69.85720495003936,h_l_0.08_Mach_1.5
0.07999999999999999,2.0,3062.7832,11744.665536597624,6500.539269147146,6500.798934070837,73.9219206065848,52.88416735421353,52.88604932736987,135.10491935069317,74.6675084758792,73.61202715512216,h_l_0.08_Mach_2.0
0.07999999999999999,2.5,1877.59,6352.674591116065,3341.54967368699,3341.6382531285963,70.44410289099274,43.81080189813182,43.812291349537134,173.08979226687677,78.37283827025703,77.60528224818303,h_l_0.08_Mach_2.5
0.07999999999999999,3.0,1153.0284,3446.9855564666013,1792.7802216244008,1792.8105326212917,66.54965843359244,35.68489720741802,35.68598458103911,210.41135295431653,83.4241516126421,82.87750717924769,h_l_0.08_Mach_3.0
0.07999999999999999,3.5,700.4709,1905.4082974866767,969.9507986671767,969.962042034593,63.2377539683005,27.782843501650213,27.78368061072157,243.97383218735848,88.47576502127863,88.06928757181831,h_l_0.08_Mach_3.5
0.07999999999999999,4.0,436.8116,1082.671972323803,537.0259632709617,537.0304640170974,59.654297316602765,18.660987575038934,18.661669261219483,269.58161830311735,91.9125961826619,91.61470812583748,h_l_0.08_Mach_4.0
0.09,1.5,6797.747,27608.339747883274,14846.802161849006,14847.489018794422,75.37792155417937,54.214065788656576,54.216183883297056,118.70116306542951,75.5370935614763,74.25615240946728,h_l_0.09_Mach_1.5
0.09,2.0,3609.5566,14864.365753588128,7648.857927932373,7649.10991726155,75.71671270431646,52.80920792836938,52.810762563636246,154.20642923426985,79.437563343715,78.37397164363732,h_l_0.09_Mach_2.0
0.09,2.5,2422.088,8040.116454710946,3943.480898374448,3943.5660922731895,69.87496506713127,38.579951239946034,38.581278113464144,197.37739995772094,82.99341226965012,82.23852188702519,h_l_0.09_Mach_2.5
0.09,3.0,1357.6002,4362.597972585456,2056.881858601297,2056.9116446559883,68.88092305874353,33.99717081224364,33.99812659655507,239.3400028685007,87.78916616335378,87.21485140183272,h_l_0.09_Mach_3.0
0.09,3.5,829.25653,2411.53617831918,1101.576896183426,1101.5879722352506,65.61293426915522,24.720958324852393,24.721715227240505,275.0558803358385,92.25918963445318,91.8236513602131,h_l_0.09_Mach_3.5
0.09,4.0,529.2269,1370.258875200101,610.1408570836943,610.1452630392489,61.377595263985896,13.261516161940568,13.262142514266506,299.7726306446074,94.51540001417135,94.18924471993759,h_l_0.09_Mach_4.0
